file1,"pk;id_volcan;est;componente;code_macroevent;code_event;id_tecnica;fecha_pick;autor;t_p;t_s;c_p;c_s;inicio;snr;polar;fecha_cr;descrip;label_event;amplitud;coda;frecuencia
63;99;FRE;Z;20171117_133151.962 ;FREZ17-11-2017_13:31:47.040;MJo;2021-08-03 17:13:03.122 ;4Testing;2017-11-17T13:31:51.962Z;2017-11-17T13:31:50.632Z;0;0;0;-2.2868;nn;0025-07-2T 00:00:00Z; ;OT;2.5081;2017-11-17 13:31:56 ;5.7377
64;99;FRE;Z;20171117_145841.452 ;FREZ17-11-2017_14:58:37.210;MJo;2021-08-03 17:13:03.123 ;4Testing;2017-11-17T14:58:41.452Z;2017-11-17T14:58:42.852Z;0;0;0;29.2525;nn;0025-07-2T 00:00:00Z; ;OT;3.3329;2017-11-17 14:58:49 ;1.5574
65;99;SHG;Z;20171117_145841.452 ;SHGZ17-11-2017_14:58:38.791;MJo;2021-08-03 17:13:03.124 ;4Testing;2017-11-17T14:58:41.842Z;2017-11-17T14:58:43.182Z;0;0;0;20.2628;nn;0025-07-2T 00:00:00Z; ;OT;2.6318;2017-11-17 14:58:48 ;1.578
66;99;SHG;Z;20171117_153351.852 ;SHGZ17-11-2017_15:33:49.583;MJo;2021-08-03 17:13:03.125 ;4Testing;2017-11-17T15:33:51.852Z;2017-11-17T15:33:52.732Z;0;0;0;20.6324;nn;0025-07-2T 00:00:00Z; ;OT;1.8944;2017-11-17 15:33:58 ;1.6001
67;99;FRE;Z;20171117_153351.852 ;FREZ17-11-2017_15:33:48.090;MJo;2021-08-03 17:13:03.125 ;4Testing;2017-11-17T15:33:51.972Z;2017-11-17T15:33:52.912Z;0;0;0;23.6956;nn;0025-07-2T 00:00:00Z; ;OT;2.8118;2017-11-17 15:34:03 ;1.5738
68;99;FRE;Z;20171117_161022.032 ;FREZ17-11-2017_16:10:18.671;MJo;2021-08-03 17:13:03.126 ;4Testing;2017-11-17T16:10:22.032Z;2017-11-17T16:10:23.262Z;0;0;0;24.3803;nn;0025-07-2T 00:00:00Z; ;OT;2.2943;2017-11-17 16:10:29 ;1.459
69;99;FRE;Z;20171117_172031.642 ;FREZ17-11-2017_17:20:27.427;MJo;2021-08-03 17:13:03.127 ;4Testing;2017-11-17T17:20:31.642Z;2017-11-17T17:20:32.372Z;0;0;0;23.8829;nn;0025-07-2T 00:00:00Z; ;LP;3.7348;2017-11-17 17:20:38 ;1.9836
70;99;SHG;Z;20171117_172031.642 ;SHGZ17-11-2017_17:20:27.946;MJo;2021-08-03 17:13:03.128 ;4Testing;2017-11-17T17:20:31.872Z;2017-11-17T17:20:33.352Z;0;0;0;10.8802;nn;0025-07-2T 00:00:00Z; ;OT;3.1548;2017-11-17 17:20:40 ;2.5654
71;99;SHG;Z;20171117_173702.792 ;SHGZ17-11-2017_17:36:59.277;MJo;2021-08-03 17:13:03.129 ;4Testing;2017-11-17T17:37:02.792Z;2017-11-17T17:37:04.272Z;0;0;0;9.5415;nn;0025-07-2T 00:00:00Z; ;OT;2.9881;2017-11-17 17:37:09 ;4.7557
72;99;FRE;Z;20171117_173702.792 ;FREZ17-11-2017_17:36:59.586;MJo;2021-08-03 17:13:03.130 ;4Testing;2017-11-17T17:37:03.062Z;2017-11-17T17:37:05.752Z;0;0;0;25.8178;nn;0025-07-2T 00:00:00Z; ;LP;3.6437;2017-11-17 17:37:10 ;2.2295
73;99;SHG;Z;20171117_182838.232 ;SHGZ17-11-2017_18:28:33.940;MJo;2021-08-03 17:13:03.131 ;4Testing;2017-11-17T18:28:38.232Z;2017-11-17T18:28:38.712Z;0;0;0;13.2063;nn;0025-07-2T 00:00:00Z; ;OT;2.1077;2017-11-17 18:28:42 ;5.5539
74;99;FRE;Z;20171117_185730.702 ;FREZ17-11-2017_18:57:26.349;MJo;2021-08-03 17:13:03.132 ;4Testing;2017-11-17T18:57:30.702Z;2017-11-17T18:57:31.572Z;0;0;0;24.3491;nn;0025-07-2T 00:00:00Z; ;LP;3.0071;2017-11-17 18:57:38 ;1.4426
75;99;SHG;Z;20171117_185730.702 ;SHGZ17-11-2017_18:57:27.761;MJo;2021-08-03 17:13:03.133 ;4Testing;2017-11-17T18:57:30.982Z;2017-11-17T18:57:32.962Z;0;0;0;20.7347;nn;0025-07-2T 00:00:00Z; ;LP;3.3667;2017-11-17 18:57:38 ;3.0041
76;99;FRE;Z;20171117_193429.962 ;FREZ17-11-2017_19:34:25.251;MJo;2021-08-03 17:13:03.133 ;4Testing;2017-11-17T19:34:29.962Z;2017-11-17T19:34:31.432Z;0;0;0;30.6599;nn;0025-07-2T 00:00:00Z; ;LP;4.3408;2017-11-17 19:34:41 ;1.5738
